MPID;WikiDataLink;WikipediaLink;Name;LastName;Born;SexOrGender;Occupation;Religion;AbgeordnetenwatchID
1727;http://www.wikidata.org/entity/Q1514594;https://de.wikipedia.org/wiki/Gerold_Tandler;Gerold Tandler;Tandler;12.08.1936 00:00;männlich;['Politiker'];;
1728;http://www.wikidata.org/entity/Q1453612;https://de.wikipedia.org/wiki/Karl-Heinz_N%C3%A4tscher;Karl-Heinz Nätscher;;20.08.1936 00:00;männlich;['Politiker'];;
1729;http://www.wikidata.org/entity/Q1608285;https://de.wikipedia.org/wiki/Herbert_Friedlein;Herbert Friedlein;Friedlein;08.09.1936 00:00;männlich;['Politiker'];;
1730;http://www.wikidata.org/entity/Q118658;https://de.wikipedia.org/wiki/Walburga_Fricke;Walburga Fricke;Fricke;14.09.1936 00:00;weiblich;['Politiker'];;
1731;http://www.wikidata.org/entity/Q1500806;https://de.wikipedia.org/wiki/Herbert_Franz;Herbert Franz;Franz;07.10.1936 00:00;männlich;['Politiker'];;
1732;http://www.wikidata.org/entity/Q1302438;https://de.wikipedia.org/wiki/Hans_Zehetmair;Hans Zehetmair;Zehetmair;23.10.1936 00:00;männlich;['Politiker'];;
1733;http://www.wikidata.org/entity/Q2262881;https://de.wikipedia.org/wiki/Sebastian_Kuchenbaur;Sebastian Kuchenbaur;Kuchenbaur;23.10.1936 00:00;männlich;['Politiker'];;
1734;http://www.wikidata.org/entity/Q15435798;https://de.wikipedia.org/wiki/Franz_Schick_(Politiker);Franz Schick;Schick;05.11.1936 00:00;männlich;['Politiker'];;
1735;http://www.wikidata.org/entity/Q1083952;https://de.wikipedia.org/wiki/Christl_Schweder;Christl Schweder;;16.11.1936 00:00;weiblich;['Politiker'];;
1736;http://www.wikidata.org/entity/Q97717;https://de.wikipedia.org/wiki/Helmut_Markwort;Helmut Markwort;Markwort;08.12.1936 00:00;männlich;['Teilnehmer eines internationalen Forums', 'Journalist', 'Fernsehmoderator', 'Politiker'];;158862.0
1737;http://www.wikidata.org/entity/Q2577341;https://de.wikipedia.org/wiki/Willi_M%C3%BCller_(Politiker,_1936);Willi Müller;Müller;22.12.1936 00:00;männlich;['Politiker'];;
1738;http://www.wikidata.org/entity/Q1663218;https://de.wikipedia.org/wiki/Ingo_Wei%C3%9F_(Politiker);Ingo Weiß;Weiß;24.01.1937 00:00;männlich;['Politiker'];;
