_runtime,Sample Generation,_timestamp,train/step_loss,_step,val/loss,lr,iter,train/loss,seed
299.8953558,,1779640319.5736141,1.2162810564041138,204,,,1960.0,,3740
300.9015658,,1779640320.5810869,1.1538759469985962,205,,,1970.0,,3740
301.8843534,,1779640321.5633643,1.179508924484253,206,,,1980.0,,3740
302.878715,,1779640322.5569394,1.1854954957962036,207,,,1990.0,,3740
316.5480041,,1779640336.2269807,,208,1.4715049266815186,0.0007054142744895884,2000.0,1.087630033493042,3740
316.6551248,,1779640336.33414,1.1689879894256592,209,,,2000.0,,3740
317.6984429,,1779640337.3773706,1.1716400384902954,210,,,2010.0,,3740
318.6878352,,1779640338.3668516,1.1718868017196655,211,,,2020.0,,3740
319.6772222,,1779640339.3562384,1.1848899126052856,212,,,2030.0,,3740
320.6689557,,1779640340.3479717,1.1735773086547852,213,,,2040.0,,3740
321.6779027,,1779640341.356916,1.200228214263916,214,,,2050.0,,3740
322.6686207,,1779640342.3474572,1.1639034748077393,215,,,2060.0,,3740
323.6571528,,1779640343.3366737,1.1652230024337769,216,,,2070.0,,3740
324.6615449,,1779640344.3405612,1.1360929012298584,217,,,2080.0,,3740
325.6427972,,1779640345.3214226,1.1583125591278076,218,,,2090.0,,3740
326.6758338,,1779640346.3548489,1.1315698623657227,219,,,2100.0,,3740
327.7319535,,1779640347.4109702,1.1605145931243896,220,,,2110.0,,3740
328.7881009,,1779640348.4671178,1.130961298942566,221,,,2120.0,,3740
329.7912803,,1779640349.4702616,1.1463537216186523,222,,,2130.0,,3740
330.8038115,,1779640350.4828265,1.1587185859680176,223,,,2140.0,,3740
331.8062141,,1779640351.4843347,1.1290768384933472,224,,,2150.0,,3740
332.8033385,,1779640352.4821498,1.1383156776428223,225,,,2160.0,,3740
333.8054886,,1779640353.4839358,1.160724401473999,226,,,2170.0,,3740
334.8030727,,1779640354.4813378,1.1443865299224854,227,,,2180.0,,3740
335.7892658,,1779640355.4682803,1.1453680992126465,228,,,2190.0,,3740
336.8250043,,1779640356.503916,1.1466798782348633,229,,,2200.0,,3740
337.9397306,,1779640357.6185334,1.1375093460083008,230,,,2210.0,,3740
338.904719,,1779640358.5834458,1.1313120126724243,231,,,2220.0,,3740
339.8881811,,1779640359.5671966,1.1397433280944824,232,,,2230.0,,3740
340.845682,,1779640360.5235834,1.1490591764450073,233,,,2240.0,,3740
354.533001,,1779640374.2111144,,234,1.4791826009750366,0.0006360213829156177,2250.0,1.0470466613769531,3740
354.6301238,,1779640374.309139,1.12123441696167,235,,,2250.0,,3740
355.579906,,1779640375.2580826,1.121169090270996,236,,,2260.0,,3740
