_runtime,train/step_loss,lr,_timestamp,iter,_step,val/loss,train/loss,Sample Generation,seed
895.188312,0.9084390997886658,,1779708938.839006,3290.0,343,,,,6242
896.8285618,0.8928753137588501,,1779708940.4794302,3300.0,344,,,,6242
898.4727656,0.924515962600708,,1779708942.1236365,3310.0,345,,,,6242
900.1149781,0.8843398094177246,,1779708943.7658434,3320.0,346,,,,6242
901.757004,0.888075053691864,,1779708945.407869,3330.0,347,,,,6242
903.3983677,0.8931686282157898,,1779708947.0492384,3340.0,348,,,,6242
905.0419728,0.8936862349510193,,1779708948.6920748,3350.0,349,,,,6242
906.685003,0.8938111066818237,,1779708950.335871,3360.0,350,,,,6242
908.3234765,0.8682509064674377,,1779708951.973698,3370.0,351,,,,6242
909.9714916,0.9015753269195557,,1779708953.6223602,3380.0,352,,,,6242
911.6264053,0.8949040770530701,,1779708955.2772772,3390.0,353,,,,6242
913.2835346,0.9081043004989624,,1779708956.9338229,3400.0,354,,,,6242
914.934237,0.9042975902557373,,1779708958.5849915,3410.0,355,,,,6242
916.5777751,0.8862076997756958,,1779708960.228645,3420.0,356,,,,6242
918.2207166,0.8886657953262329,,1779708961.8715868,3430.0,357,,,,6242
919.8647908,0.8826731443405151,,1779708963.5156593,3440.0,358,,,,6242
921.5099151,0.8833481073379517,,1779708965.1605144,3450.0,359,,,,6242
923.1491956,0.874683141708374,,1779708966.8005712,3460.0,360,,,,6242
924.7968582,0.8959303498268127,,1779708968.4475005,3470.0,361,,,,6242
926.4426412,0.8595879673957825,,1779708970.0929043,3480.0,362,,,,6242
928.0857693,0.8987500667572021,,1779708971.7366376,3490.0,363,,,,6242
952.5160147,,0.0002925475029450237,1779708996.1666114,3500.0,364,1.6776232719421387,0.693206787109375,,6242
952.6846602,0.9036104083061218,,1779708996.3355305,3500.0,365,,,,6242
954.3237906,0.8212247490882874,,1779708997.9746594,3510.0,366,,,,6242
